"","Year","country_code","country_name","lfpr_female","family_benefits_exp","per_female_tertiary","position_guarantee","mandatory_leave_days","employment_services","epl_score","female_politicians"
"128",2012,"GRC","Greece",44.875,1.284,49.12264,NA,21,70.4530029296875,2.4444444,21
"129",2012,"HUN","Hungary",44.8009986877441,3.1,55.50049,NA,8.8,65.1439971923828,2.2647393,8.8
"130",2012,"IRL","Ireland",52.742000579834,3.445,50.86038,NA,19,77.0309982299805,2.0691609,19
"131",2012,"ITA","Italy",39.1629981994629,1.392,57.49622,NA,20.6,68.7239990234375,3.0323131,20.6
"132",2012,"LVA","Latvia",54.2220001220703,1.005,59.61089,NA,23,68.1500015258789,2.9070296,23
"133",2012,"LTU","Lithuania",53.6269989013672,NA,58.44253,NA,24.5,66.120002746582,NA,24.5
"134",2012,"LUX","Luxembourg",50.9700012207031,3.658,52.12818,NA,21.7,86.0029983520508,2.7352607,21.7
"135",2012,"MLT","Malta",37.4620018005371,NA,56.13374,NA,8.7,76.6740036010742,NA,8.7
"136",2012,"NLD","Netherlands",58.625,1.398,51.42829,NA,37.8,80.0609970092773,2.8843536,37.8
"137",2012,"POL","Poland",48.7639999389648,1.239,59.85591,NA,21.8,57.0060005187988,2.3905897,21.8
"138",2012,"PRT","Portugal",54.6520004272461,1.236,53.49025,NA,28.7,64.0429992675781,2.8996599,28.7
"139",2012,"ROU","Romania",46.2799987792969,NA,54.31959,NA,11.6,42.0810012817383,NA,11.6
"140",2012,"SVK","Slovak Republic",50.7270011901855,2.048,59.60891,NA,18.7,59.2270011901855,2.1649661,18.7
"141",2012,"SVN","Slovenia",52.318000793457,2.074,57.73295,NA,24.6,60.6360015869141,2.6689343,24.6
"142",2012,"ESP","Spain",52.6440010070801,1.361,53.61311,NA,35.2,75.1119995117188,2.5578232,35.2
"143",2012,"SWE","Sweden",59.6790008544922,3.565,59.71438,NA,44.7,78.3290023803711,2.5170066,44.7
"144",2012,"GBR","United Kingdom",55.7799987792969,3.989,56.27101,NA,22.6,79.7460021972656,1.7585034,22.6
"145",2012,"USA","United States",56.7000007629395,0.693,57.00462,NA,18.4,79.9329986572266,1.1714286,18.4
"146",2013,"AUT","Austria",54.5970001220703,2.574,NA,"No",32.2,69.5169982910156,2.4421768,32.2
"147",2013,"BEL","Belgium",47.5950012207031,2.857,55.71662,"Yes",38.9,76.9369964599609,2.9948978,38.9
"148",2013,"BGR","Bulgaria",48.5270004272461,NA,54.54062,"Yes",24.6,63.1529998779297,NA,24.6
"149",2013,"HRV","Croatia",44.6129989624023,NA,56.45627,"Yes",23.8,61.5890007019043,NA,23.8
"150",2013,"CYP","Cyprus",56.2610015869141,NA,55.35117,NA,10.7,79.3320007324219,NA,10.7
"151",2013,"CZE","Czech Republic",50.9879989624023,2.216,57.41471,"Yes",18.9,59.4580001831055,2.6604307,18.9
"152",2013,"DNK","Denmark",58.5859985351563,3.656,56.9094,"Yes",39.1,77.9929962158203,2.3202949,39.1
"153",2013,"EST","Estonia",55.3380012512207,1.998,58.46064,"Yes",20.8,65.4649963378906,2.0663266,20.8
"154",2013,"FIN","Finland",55.5,3.208,53.67546,"Yes",42.5,73.0199966430664,2.1666667,42.5
"155",2013,"FRA","France",51.0810012817383,2.914,54.55446,"Yes",25.1,75.620002746582,2.8225625,25.1
"156",2013,"DEU","Germany",54.310001373291,2.171,47.12473,"No",35.6,70.7760009765625,2.8418367,35.6
"157",2013,"GRC","Greece",44.7220001220703,NA,48.77549,"Yes",21,70.7480010986328,2.4104307,21
"158",2013,"HUN","Hungary",44.9080009460449,2.958,55.18187,"Yes",8.8,65.3280029296875,2.0742631,8.8
"159",2013,"IRL","Ireland",53.1279983520508,3.292,50.4553,"Yes",19.9,76.0979995727539,2.0691609,19.9
"160",2013,"ITA","Italy",39.0320014953613,1.419,57.05949,"Yes",30.6,69.3519973754883,2.8894558,30.6
"161",2013,"LVA","Latvia",53.923999786377,1.173,58.99083,"Yes",23,68.0220031738281,2.9070296,23
"162",2013,"LTU","Lithuania",53.2560005187988,NA,58.39193,"Yes",24.1,66.052001953125,NA,24.1
"163",2013,"LUX","Luxembourg",51.109001159668,3.612,NA,NA,28.3,86.3720016479492,2.7352607,28.3
"164",2013,"MLT","Malta",39.2599983215332,NA,55.52728,NA,14.3,76.8550033569336,NA,14.3
"165",2013,"NLD","Netherlands",58.5369987487793,1.347,NA,"Yes",37.8,81.3889999389648,2.9379251,37.8
"166",2013,"POL","Poland",48.7779998779297,NA,59.81659,"Yes",21.8,57.4609985351563,2.3905897,21.8
"167",2013,"PRT","Portugal",54.1279983520508,1.2,53.16846,"Yes",31.3,66.072998046875,2.6853743,31.3
"168",2013,"ROU","Romania",46.0029983520508,NA,53.90637,"Yes",11.6,42.4640007019043,NA,11.6
"169",2013,"SVK","Slovak Republic",51.0709991455078,2.055,59.66269,"Yes",18.7,60.867000579834,2.2556689,18.7
"170",2013,"SVN","Slovenia",51.7929992675781,1.958,57.54304,"No",24.6,60.4669990539551,2.6689343,24.6
"171",2013,"ESP","Spain",52.6189994812012,1.332,53.54788,"Yes",35.2,75.9520034790039,2.3554423,35.2
"172",2013,"SWE","Sweden",60.1520004272461,3.637,59.69061,"Yes",45,78.8109970092773,2.5170066,45
"173",2013,"GBR","United Kingdom",56.1440010070801,3.802,56.07889,"Yes",22.6,80.0770034790039,1.6632653,22.6
"174",2013,"USA","United States",56.2919998168945,0.688,56.58021,"Yes",18.2,79.7320022583008,1.1714286,18.2
"175",2014,"AUT","Austria",54.5610008239746,NA,53.28977,NA,31.4,69.4120025634766,NA,31.4
"176",2014,"BEL","Belgium",48.0099983215332,NA,55.85267,NA,42.4,77.3889999389648,NA,42.4
