Series Name,Series Code,Country Name,Country Code,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Cameroon,CMR,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Canada,CAN,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Central African Republic,CAF,..,..,..,..,..,..,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Chad,TCD,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Chile,CHL,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,China,CHN,..,0,..,0,..,0,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Colombia,COL,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Comoros,COM,..,..,..,..,..,..,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,"Congo, Dem. Rep.",COD,..,0,..,0,..,0,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,"Congo, Rep.",COG,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Costa Rica,CRI,..,0,..,0,..,0,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Cote d'Ivoire,CIV,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Croatia,HRV,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Cuba,CUB,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Curacao,CUW,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Cyprus,CYP,..,..,..,..,..,..,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Czech Republic,CZE,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Denmark,DNK,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Djibouti,DJI,..,..,..,..,..,..,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Dominica,DMA,..,..,..,..,..,..,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Dominican Republic,DOM,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Ecuador,ECU,..,0,..,0,..,0,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,"Egypt, Arab Rep.",EGY,..,0,..,0,..,0,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,El Salvador,SLV,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Eritrea,ERI,..,..,..,..,..,..,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Estonia,EST,..,0,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Eswatini,SWZ,..,..,..,..,..,..,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Ethiopia,ETH,..,0,..,0,..,0,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Fiji,FJI,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Finland,FIN,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,France,FRA,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Gabon,GAB,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,"Gambia, The",GMB,..,..,..,..,..,..,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Georgia,GEO,..,0,..,0,..,0,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Germany,DEU,..,0,..,0,..,0,..,0,..,0
